feature,importance
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_4.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_5.0,0.0
P_KIQ_U__KIQ042_Leak_urine_during_physical_activities_2.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_3.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_4.0,0.0
P_DPQ__DPQ090_Thoughts_you_would_be_better_off_dead_1.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_10.0,0.0
P_DPQ__DPQ080_Moving_or_speaking_slowly_or_too_fast_1.0,0.0
P_ALQ__ALQ151_Ever_have_4_5_or_more_drinks_every_day_2.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_2.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_3.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_6.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_2.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_4.0,0.0
P_DBQ__DBQ700_How_healthy_is_the_diet_5.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_2.0,0.0
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_4.0,0.0
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_2.0,0.0
P_DBQ__CBQ596_Heard_of_My_Plate_2.0,0.0
P_DBQ__DBQ935_Shared_meal_planning_preparing_duty_2.0,0.0
P_DBQ__DBQ940_Main_food_shopper_2.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_1.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_3.0,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_1.0,0.0
P_DPQ__DPQ030_Trouble_sleeping_or_sleeping_too_much_1.0,0.0
