,mean_abs_shap
P_HUQ__HUQ010_General_health_condition_4.0,0.046864726
P_HUQ__HUQ010_General_health_condition_5.0,0.02502945
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_2.0,0.0
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_3.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_1.0,0.07156396
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_2.0,0.010646482
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_3.0,0.07389817
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_4.0,0.01336182
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_5.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_6.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_7.0,0.009381758
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_8.0,0.009632423
P_HUQ__HUQ071_Overnight_hospital_patient_in_last_year_2.0,0.0
P_HUQ__HUQ090_Seen_mental_health_professional_past_yr_2.0,0.008436414
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_2.0,0.0
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_3.0,0.0
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_2.0,0.0034143687
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_3.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_2.0,0.0
P_INQ__INDFMMPC_Family_monthly_poverty_level_category_3.0,0.0
P_KIQ_U__KIQ022_Ever_told_you_had_weak_failing_kidneys_2.0,0.0011771545
P_KIQ_U__KIQ026_Ever_had_kidney_stones_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_2.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_3.0,0.0031046616
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_4.0,0.0
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_5.0,0.003263971
P_KIQ_U__KIQ042_Leak_urine_during_physical_activities_2.0,0.0
P_KIQ_U__KIQ044_Urinated_before_reaching_the_toilet_2.0,0.0
P_KIQ_U__KIQ046_Leak_urine_during_nonphysical_activities_2.0,0.0032991464
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_1.0,0.0014598262
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_2.0,0.006028329
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_3.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_4.0,0.0
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_5.0,0.0
P_MCQ__MCQ010_Ever_been_told_you_have_asthma_2.0,0.0
P_MCQ__MCQ053_Taking_treatment_for_anemia_past_3_mos_2.0,0.0
P_MCQ__MCQ080_Doctor_ever_said_you_were_overweight_2.0,0.030203618
P_MCQ__MCQ092_Ever_receive_blood_transfusion_2.0,0.0
P_MCQ__MCQ160A_2.0,0.008888583
P_MCQ__MCQ160A_9.0,0.0
P_MCQ__MCQ160B_2.0,0.0
P_MCQ__MCQ160B_9.0,0.0
P_MCQ__MCQ160C_2.0,0.0
P_MCQ__MCQ160C_9.0,0.0
P_MCQ__MCQ160D_2.0,0.0
P_MCQ__MCQ160D_9.0,0.0
P_MCQ__MCQ160E_2.0,0.0
P_MCQ__MCQ160E_9.0,0.0
P_MCQ__MCQ160F_2.0,0.0
P_MCQ__MCQ160F_9.0,0.0
P_MCQ__MCQ160M_2.0,0.0010876922
P_MCQ__MCQ160M_7.0,0.0
P_MCQ__MCQ160M_9.0,0.0
P_MCQ__MCQ160P_2.0,0.0
P_MCQ__MCQ160P_9.0,0.0
P_MCQ__MCQ160L_2.0,0.0
P_MCQ__MCQ160L_9.0,0.0
P_MCQ__MCQ520_Abdominal_pain_during_past_12_months_2.0,0.009621689
P_MCQ__MCQ550_Has_DR_ever_said_you_have_gallstones_2.0,0.0
P_MCQ__MCQ560_Ever_had_gallbladder_surgery_2.0,0.0
P_MCQ__MCQ220_Ever_told_you_had_cancer_or_malignancy_2.0,0.0
P_MCQ__MCQ300B_2.0,0.0
P_MCQ__MCQ300B_9.0,0.0
P_MCQ__MCQ300C_2.0,0.3837591
P_MCQ__MCQ300C_7.0,0.0
P_MCQ__MCQ300C_9.0,0.0
P_MCQ__MCQ300A_2.0,0.00528293
P_MCQ__MCQ300A_7.0,0.0
P_MCQ__MCQ300A_9.0,0.0
P_MCQ__MCQ366A_2.0,0.012286753
P_MCQ__MCQ366A_9.0,0.0
